Town or City,Floor Vote Turnout (%),Australian ballot Turnout (%),year,aus-due-to-covid-in-2021
 Albany,0.159090909,,2014,
Addison,0.094094094,0.325325325,2014,
Alburgh,,0.296627667,2014,
Andover,0.210918114,,2014,
Arlington,,0.226500566,2014,
Athens,0.247368421,,2014,
Bakersfield,0.07173913,0.152173913,2014,
Baltimore,0.178947368,,2014,
Barnet,0.119402985,0.099764336,2014,
Barre City,,0.200695581,2014,
Barton,,0.06097561,2014,
Belvidere,0.142156863,,2014,
Bennington,,0.261591696,2014,
Berkshire,,0.184475806,2014,
Berlin,,0.223336853,2014,
Bethel,0.110941086,,2014,
Bloomfield,,,2014,
Bolton,0.064239829,0.316916488,2014,
Bradford,0.104125737,,2014,
Braintree,0.076754386,,2014,
Brandon,,0.440905874,2014,
Brattleboro,0.01747409,0.106049651,2014,
Bridgewater,0.133971292,,2014,
Bridport,,0.280312907,2014,
 Brighton,,0.239179954,2014,
Bristol,0.046743295,0.201149425,2014,
Brownington,,,2014,
Brunswick,0.306666667,,2014,
Burlington,,0.259626074,2014,
Cabot,0.043935053,0.273161414,2014,
Calais,0.154559505,0.278979907,2014,
Cambridge,,0.105553639,2014,
Canaan,,0.193929174,2014,
Cavendish,,,2014,
Charleston,0.148091603,0.079389313,2014,
Chelsea,0.102957284,,2014,
Chester,0.038770053,0.179144385,2014,
Chittenden,,,2014,
Clarendon,,10.20408163,2014,
Colchester,,0.261122881,2014,
Concord,,0.433121019,2014,
Corinth,0.103519669,0.243271222,2014,
Coventry,0.115835777,,2014,
Danby,0.058295964,0.510089686,2014,
Danville,0.138721351,0.173703257,2014,
Derby,,0.251965924,2014,
Dorset,0.076322115,0.231370192,2014,
Dummerston,0.060459492,0.186819831,2014,
Duxbury,0.138063279,0.233940556,2014,
East Haven,0.126984127,0.365079365,2014,
East Montpelier,0.100250627,0.271679198,2014,
Essex,0.016611507,0.13371945,2014,
Fair Haven,,0.28125,2014,
Fairfax,0.029705972,0.186117005,2014,
Fairfield,0.080321285,0.170281124,2014,
Fairlee,0.110192837,,2014,
Fayston,0.080779944,,2014,
Fletcher,0.144508671,,2014,
Franklin,0.091224018,0.197459584,2014,
Georgia,0.053125,0.2471875,2014,
Glover,0.125322997,,2014,
Goshen,,0.392857143,2014,
Grafton,0.153225806,0.413306452,2014,
Granby,0.403508772,0.245614035,2014,
Grand isle,,0.500645161,2014,
Granville,0.140350877,,2014,
Greensboro,0.193321617,0.196836555,2014,
Groton,0.191290824,,2014,
Guildhall,,0.361702128,2014,
Guildford,,0.116646416,2014,
Halifax,0.180608365,0.27756654,2014,
Hartford,,0.185765847,2014,
Hartland,0.073251029,0.243621399,2014,
Highgate,0.063703704,0.219259259,2014,
Hinesburg,,0.211898941,2014,
Holland,0.194871795,0.266666667,2014,
Hubbardton,0.097609562,0.288844622,2014,
Huntington,0.082587749,0.232622161,2014,
Hyde Park,0.070493454,0.110775428,2014,
Ira,0.116923077,0.196923077,2014,
Irasburg,0.162822252,,2014,
Isle La Motte,,0.428571429,2014,
Jamaica,0.110935024,,2014,
Jay,0.158227848,0.17721519,2014,
Jericho,0.052110474,0.232152163,2014,
Johnson,0.048125633,0.103850051,2014,
Killington,,0.314124294,2014,
Kirby,0.183139535,,2014,
Landgrove,0.355371901,,2014,
Leicester,,0.221428571,2014,
Lemington,0.277777778,,2014,
Lincoln,0.109359606,0.322167488,2014,
Londonderry,0.102664577,,2014,
Lowell,0.253996448,0.245115453,2014,
Lunenburg,0.036157025,0.193181818,2014,
Lyndon,0.028589581,0.102287166,2014,
Maidstone,0.248175182,,2014,
Manchester,,0.091219096,2014,
Marlboro,,0.236574746,2014,
Marshfield,0.11732852,0.226534296,2014,
Mendon,,0.168525403,2014,
Middlebury,0.060750705,0.385766978,2014,
Middlesex,0.136054422,0.228571429,2014,
Middletown Springs,,0.503225806,2014,
Milton,,0.266095607,2014,
Monkton,,0.306487696,2014,
Montgomery,0.055079559,,2014,
Montpelier,,0.388448112,2014,
Moretown,0.034626039,0.234072022,2014,
Morriston,0.055605114,0.234611954,2014,
Mount Holly,,0.449786325,2014,
Mount Tabor,0.122137405,0.244274809,2014,
New Haven,,0.311570248,2014,
Newark,0.197619048,,2014,
Newbury,,0.07421875,2014,
Newfane,,0.363855422,2014,
Newport City,,0.151311775,2014,
Newport Town,0.068126521,,2014,
North Hero,,0.3203125,2014,
Northfield,0.031796502,0.236248013,2014,
Norton,,0.463636364,2014,
Norwich,,0.278745645,2014,
Orange,0.151832461,,2014,
Orwell,0.130489335,0.25846926,2014,
Panton,,0.230593607,2014,
Pawlet,,0.30109671,2014,
Peacham,0.184170472,,2014,
Peru,0.236666667,,2014,
Pittsfield,0.11299435,,2014,
Pittsford,0.048928239,0.299627213,2014,
Plainfield,,0.224581006,2014,
Plymouth,0.102880658,0.481481481,2014,
Pomfret,0.254374159,,2014,
Poultney,,0.259502581,2014,
Proctor,0.110083256,0.232192414,2014,
Putney,0.059559261,0.131625968,2014,
Randolph,,0.162585034,2014,
Reading,0.203665988,,2014,
Readsboro,,0.34962406,2014,
Richford,,0.279920213,2014,
Richmond,0.056833559,0.294993234,2014,
Ripton,,0.296052632,2014,
Rochester,0.127848101,,2014,
