town_city,year,Statistic,Value
Albany,2014,tm_checklist_voters,616
Albany,2014,highest_flr_vote_count,98
Albany,2014,Floor Vote Turnout (%),0.159
Albany,2014,ab_towns_num_voted,NA
Albany,2014,Australian ballot Turnout (%),NA
Albany,2014,ab_towns_absentee_votes,NA
Albany,2014,Absentee ballot Turnout (%),NA
Addison,2014,tm_checklist_voters,999
Addison,2014,highest_flr_vote_count,94
Addison,2014,Floor Vote Turnout (%),0.094
Addison,2014,ab_towns_num_voted,325
Addison,2014,Australian ballot Turnout (%),0.325
Addison,2014,ab_towns_absentee_votes,20
Addison,2014,Absentee ballot Turnout (%),0.062
Alburgh,2014,tm_checklist_voters,1453
Alburgh,2014,highest_flr_vote_count,NA
Alburgh,2014,Floor Vote Turnout (%),NA
Alburgh,2014,ab_towns_num_voted,431
Alburgh,2014,Australian ballot Turnout (%),0.297
Alburgh,2014,ab_towns_absentee_votes,58
Alburgh,2014,Absentee ballot Turnout (%),0.135
Andover,2014,tm_checklist_voters,403
Andover,2014,highest_flr_vote_count,85
Andover,2014,Floor Vote Turnout (%),0.211
Andover,2014,ab_towns_num_voted,NA
Andover,2014,Australian ballot Turnout (%),NA
Andover,2014,ab_towns_absentee_votes,NA
Andover,2014,Absentee ballot Turnout (%),NA
Arlington,2014,tm_checklist_voters,1766
Arlington,2014,highest_flr_vote_count,NA
Arlington,2014,Floor Vote Turnout (%),NA
Arlington,2014,ab_towns_num_voted,400
Arlington,2014,Australian ballot Turnout (%),0.227
Arlington,2014,ab_towns_absentee_votes,31
Arlington,2014,Absentee ballot Turnout (%),0.078
Athens,2014,tm_checklist_voters,190
Athens,2014,highest_flr_vote_count,47
Athens,2014,Floor Vote Turnout (%),0.247
Athens,2014,ab_towns_num_voted,NA
Athens,2014,Australian ballot Turnout (%),NA
Athens,2014,ab_towns_absentee_votes,NA
Athens,2014,Absentee ballot Turnout (%),NA
Bakersfield,2014,tm_checklist_voters,920
Bakersfield,2014,highest_flr_vote_count,66
Bakersfield,2014,Floor Vote Turnout (%),0.072
