City/Town,How many voters were on your Town Meeting checklist?,"Floor vote towns - By your best estimate, what was the highest vote count?","Floor VoteTurnout (%)",Australian ballot towns - How many people voted (including absentee ballots)?,Australian Ballot Turnout (%),Australian ballot towns - How many voted by absentee ballot?,Absentee Ballot Turnout %,Australian ballot towns - Did your town mail absentee ballots to all active registered voters on your checklist?
Addison,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albany,715,130,18.18%,N/A,N/A,N/A,N/A,No
Alburgh,"1,467",N/A,N/A,333,22.70%,46,13.81%,No
Andover,403,80,19.85%,N/A,N/A,N/A,N/A,No
Arlington,"2,006",115,5.73%,399,19.89%,30,7.52%,No
Athens,330,50,15.15%,70,21.21%,8,11.43%,No
Bakersfield,"1,027",79,7.69%,176,17.14%,2,1.14%,No
Baltimore,199,23,11.56%,N/A,N/A,N/A,N/A,No
Barnard,665,130,19.55%,N/A,N/A,N/A,N/A,No
Barnet,"1,490",N/A,N/A,194,13.02%,6,3.09%,No
Barre City,"6,264",N/A,N/A,813,12.98%,279,34.32%,No
Barre Town,"6,301",N/A,N/A,"1,041",16.52%,627,60.23%,No
Barton,"2,030",63,3.10%,N/A,N/A,N/A,N/A,No
Belvidere,284,40,14.08%,N/A,N/A,N/A,N/A,No
Bennington,"9,954",N/A,N/A,"2,257",N/A,396,17.55%,No
Benson,851,68,7.98%,279,32.75%,54,19.35%,No
Berkshire,"1,113",N/A,N/A,142,12.76%,14,9.86%,No
Berlin,"2,074",48,2.31%,505,24.35%,170,33.66%,No
Bethel,"1,429",155,10.85%,271,18.96%,10,3.69%,No
Bloomfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolton,"1,073",120,11.18%,171,15.94%,8,4.68%,No
Bradford,"1,990",170,8.54%,410,20.60%,70,17.07%,No
Braintree,"1,055",80,7.58%,N/A,N/A,N/A,N/A,N/A
Brandon,"3,052",N/A,N/A,932,30.54%,199,21.35%,No
Brattleboro,"8,828",142,1.61%,"2,580",29.23%,869,33.68%,No
Bridgewater,726,143,19.70%,129,17.77%,5,3.88%,No
Bridport,923,75,8.13%,192,20.80%,7,3.65%,No
Brighton,"1,036",60,5.79%,168,16.22%,8,4.76%,No
Brookfield,"1,149",30,2.50%,208,18.10%,4,1.92%,No
Brookline,54,54,100.00%,N/A,N/A,N/A,N/A,No
Brownington,788,73,9.26%,N/A,N/A,N/A,N/A,No
Brunswick,74,18,24.32%,N/A,N/A,N/A,N/A,No
Burke,"1,250",N/A,N/A,298,23.84%,20,6.71%,No
Burlington,"28,952",N/A,N/A,"9,823",33.93%,"6,243",63.55%,Yes
Cabot,"1,123",N/A,N/A,431,38.38%,115,26.68%,No
Calais,"1,405",127,9.04%,350,24.91%,83,23.71%,No
Cambridge,"2,922",189,6.47%,N/A,N/A,N/A,N/A,No
Canaan,732,79,10.79%,120,16.39%,2,1.67%,No
Castleton,"2,895",N/A,N/A,641,22.14%,120,18.72%,No
Cavendish,"1,120",N/A,N/A,216,19.29%,9,4.17%,No
Charleston,734,101,13.76%,102,13.90%,N/A,N/A,No
Charlotte,"3,380",250,7.40%,"1,123",33.22%,492,43.81%,No
Chelsea,"1,010",88,8.71%,147,14.55%,16,10.88%,No
Chester,"2,521",100,3.97%,483,19.16%,39,8.07%,No
Chittenden,"1,019",N/A,N/A,306,30.03%,28,9.15%,No
Clarendon,"2,044",N/A,N/A,376,18.40%,376,100.00%,No
Colchester,"13,188",N/A,N/A,"2,764",20.96%,681,24.64%,No
Concord,938,N/A,N/A,198,21.11%,28,14.14%,No
Corinth,"1,104",100,9.06%,127,11.50%,N/A,N/A,No
Cornwall,"1,018",100,9.82%,232,22.79%,17,7.33%,No
Coventry,805,77,9.57%,N/A,N/A,N/A,N/A,No
Craftsbury,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danby,982,29,2.95%,467,47.56%,319,68.31%,Yes
Danville,"1,879",84,4.47%,280,14.90%,22,7.86%,No
Derby,"3,703",38,1.03%,393,10.61%,92,23.41%,No
Dorset,"1,899",N/A,N/A,236,12.43%,23,9.75%,No
Dover,"1,390",70,5.04%,98,7.05%,2,2.04%,No
Dummerston,"1,572",152,9.67%,233,14.82%,4,1.72%,No
Duxbury,"1,169",N/A,N/A,381,32.59%,89,23.36%,No
East Haven,65,N/A,N/A,65,100.00%,15,23.08%,No
Eden,965,N/A,N/A,N/A,N/A,N/A,N/A,No
Elmore,738,64,8.67%,N/A,N/A,N/A,N/A,No
Enosburgh,"2,254",N/A,N/A,240,10.65%,26,10.83%,No
Essex Junction City,"7,959",N/A,N/A,"1,867",23.46%,849,45.47%,No
Essex Town,"9,411",N/A,N/A,"1,010",10.73%,214,21.19%,No
Fair Haven,"2,018",N/A,N/A,487,24.13%,80,16.43%,No
Fairfax,"3,820",N/A,N/A,"1,048",27.43%,110,10.50%,No
Fairfield,"1,516",50,3.30%,N/A,N/A,N/A,N/A,No
Fairlee,808,71,8.79%,N/A,N/A,N/A,N/A,No
Fayston,84,84,100.00%,251,298.81%,66,26.29%,No
Ferrisburgh,"2,371",90,3.80%,495,20.88%,86,17.37%,No
Fletcher,"1,137",N/A,N/A,402,35.36%,110,27.36%,No
Franklin,"1,145",68,5.94%,N/A,N/A,N/A,N/A,No
Georgia,"4,186",105,2.51%,730,17.44%,76,10.41%,No
Glover,888,97,10.92%,N/A,N/A,N/A,N/A,No
Goshen,172,40,23.26%,56,32.56%,N/A,N/A,No
Grafton,595,70,11.76%,172,28.91%,11,6.40%,No
Granby,62,8,12.90%,10,16.13%,N/A,N/A,No
Grand Isle,"1,925",N/A,N/A,531,27.58%,79,14.88%,No
Granville,244,50,20.49%,N/A,N/A,N/A,N/A,No
Greensboro,692,181,26.16%,N/A,N/A,N/A,N/A,No
Groton,772,100,12.95%,N/A,N/A,N/A,N/A,No
Guildhall,231,17,7.36%,41,17.75%,3,7.32%,No
Guilford,"1,841",225,12.22%,611,33.19%,136,22.26%,No
Halifax,678,70,10.32%,207,30.53%,40,19.32%,No
Hancock,270,40,14.81%,N/A,N/A,N/A,N/A,No
Hardwick,"2,290",173,7.55%,393,17.16%,12,3.05%,No
Hartford,"9,723",N/A,N/A,"1,576",16.21%,379,24.05%,No
Hartland,"3,080",129,4.19%,543,17.63%,34,6.26%,No
Highgate,"2,530",N/A,N/A,495,19.57%,91,18.38%,No
Hinesburg,"4,198",N/A,N/A,"1,290",30.73%,314,24.34%,No
Holland,489,40,8.18%,48,9.82%,2,4.17%,No
Huntington,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hyde Park,"2,364",83,3.51%,181,7.66%,15,8.29%,No
Ira,328,N/A,N/A,80,24.39%,2,2.50%,No
Irasburg,929,68,7.32%,N/A,N/A,N/A,N/A,No
