town_city,year,method_description,usage,voting_method
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,Yes,town_ab_officers
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,Yes,town_ab_budget
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,Yes,town_ab_public_q
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,NA,town_sd_ab_officers
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,NA,town_sd_ab_budget
ADDISON,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,NA,town_sd_ab_public_q
ADDISON,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
ADDISON,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
ADDISON,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
ADDISON,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
ADDISON,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,Yes,town_sd_ab_budget
ALBANY,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
ALBANY,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
ALBANY,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
