CITY/TOWN          , "AUSTRALIAN
                     BALLOT used to
                     vote for Town
                     Officers"     , "AUSTRALIAN
                                     BALLOT used to
                                     vote for Town
                                     Budget"       , "AUSTRALIAN
                                                     BALLOT used to
                                                     vote for Town
                                                     Public Questions", "AUSTRALIAN BALLOT voting
                                                                        adopted by TOWN for budget,
                                                                        officers, or public questions
                                                                        at 2025 Town Meeting"              , "AUSTRALIAN BALLOT used for
                                                                                                             SCHOOL DISTRICT voting"    , "Town is member
                                                                                                                                          of a UNION
                                                                                                                                          SCHOOL
                                                                                                                                          DISTRICT"      , "UNION SCHOOL
                                                                                                                                                           DISTRICT votes by
                                                                                                                                                           AUSTRALIAN
                                                                                                                                                           BALLOT for
                                                                                                                                                           Officers"        , "UNION SCHOOL
                                                                                                                                                                              DISTRICT votes by
                                                                                                                                                                              AUSTRALIAN BALLOT
                                                                                                                                                                              for Budget"      , "UNION SCHOOL
                                                                                                                                                                                                 DISTRICT votes by
                                                                                                                                                                                                 AUSTRALIAN BALLOT
                                                                                                                                                                                                 for Public Questions", "AUSTRALIAN BALLOT voting
                                                                                                                                                                                                                        adopted by UNION SCHOOL
                                                                                                                                                                                                                        DISTRICT for budget, officers,
                                                                                                                                                                                                                        or public questions at 2025
                                                                                                                                                                                                                        Town Meeting"
Addison            , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Albany             , No            , No            , No               , No                                 , No                         , Yes            , No               , No               , No                   , No
Addison            , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Albany             , No            , No            , No               , No                                 , No                         , Yes            , No               , No               , No                   , No
Alburgh            , Yes           , Yes           , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Andover            , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Arlington          , Yes           , No            , Yes              , "We had a standing vote to move
                                                                        the Budget vote to Australian
                                                                        ballot. It did not pass. 54-no, 48-
                                                                        yes"                               , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Athens             , Yes           , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Bakersfield        , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Baltimore          , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Barnard            , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Barnet             , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Barre City         , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Barre Town         , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Barton             , No            , No            , No               , no                                 , No                         , Yes            , No               , No               , No                   , No
Belvidere          , No            , No            , No               , NO                                 , Partially                  , Yes            , No               , Yes              , No                   , No
Bennington         , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Benson             , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Berkshire          , Yes           , Yes           , Yes              , "Berkshire already votes
                                                                        everything by AB"                  , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Berlin             , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Bethel             , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , No
Bloomfield         , No            , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Bolton             , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Bradford           , Yes           , No            , No               , No                                 , No                         , Yes            , No               , No               , No                   , No
Braintree          , No            , No            , No               , No                                 , Partially                  , Yes            , No               , Yes              , Yes                  , N/A
Brandon            , Yes           , Yes           , No               , No                                 , Partially                  , Yes            , No               , Yes              , Yes                  , No
Brattleboro        , Yes           , No            , Yes              , No                                 , No                         , Yes            , No               , No               , No                   , No
Bridgewater        , No            , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , Yes
Bridport           , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Brighton           , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Bristol            , Yes           , No            , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Brookfield         , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
