TOWN,CLERK TEL #,ELECTION,DATE,POLLS OPEN,POLLING LOCATION,STREET ADDRESS,OTHER ELECTION INFO,SCHOOL ELECTION INFO
Addison,802-759-2020,Annual Meeting,3/3/25,7:00 AM,Addison Community Center,"121 VT Route 17 W, Addison",,
Albany,802-755-6100,Annual Meeting,3/4/25,9:00 AM,Albany Town Hall,"833 Main St, Albany","Additional polling place at Albany Town Clerk's Office,
827 Main St, Albany (depends on the year)",
Alburgh,802-796-3468,Annual Meeting,3/3/25,7:00 AM,Alburgh Fire Hall,"36 Firehouse Rd, Alburgh",,
Andover,802-875-2765,Annual Meeting,3/3/25,8:00 AM,Andover Town Hall,"59 Town Hall Rd, Andover",,
Arlington,802-375-2332,Annual Meeting,3/3/25,10:00 AM,"Arlington Memorial High School
Gymnasium","529 E Arlington Rd, Arlington","Floor Meeting Monday, 3/3/25.  Election Tuesday, 3/4/25.",
Athens,802-869-3370,Annual Meeting,3/3/25,10:00 AM,Athens Town Office,"25 Brookline Rd, Athens","Town Meeting: Monday, March 3rd at 6:00pm at the
Athens Community Center (Former Elementary School) //
Australian Balloting: Tuesday March 4th 10:00 - 7:00 at
the Athens Town Office",
Bakersfield,802-827-4495,Annual Meeting,3/4/25,10:00 AM,Bakersfield Town Hall,"40 E Bakersfield Rd, Bakersfield","Information valid as of 2024. Contact town clerk for
updates.",
Baltimore,802-263-5274,Annual Meeting,3/4/25,10:00 AM,Baltimore Town Office,"1902 Baltimore Rd, Baltimore","Town Meeting begins at 7:15 PM after polls close for
School District voting.",Australian Ballot Polls 10:00 AM - 7:00 PM
Barnard,802-234-9211 x1,Annual Meeting,3/4/25,10:00 AM,Barnard Town Hall,"115 North Rd, Barnard",,Union School polls 10 AM to 7 PM
Barnet,802-633-2256,Annual Meeting,3/4/25,10:00 AM,Barnet School,"163 Kid Row, Barnet",,School election: 3/4/2025 - 7 a.m. to 7 p.m.
Barre City,802-476-0242,Annual Meeting,5/13/25,7:00 AM,Barre Civic Center Auditorium,"19 Auditorium Hill, Barre",,"BUUSD/CVCC School elections - 03/04/2025 at the
Barre Auditorium"
Barre Town,802-479-9391,Annual Meeting,3/4/25,7:00 AM,"Barre Town Middle and
Elementary School","70 Websterville Rd, Barre",,"Barre Unified Union School District and Central Vermont
Career Center Annual Elections - March 4, 2025"
Barton,802-525-6222,Annual Meeting,3/4/25,7:00 PM,Lake Region Union High School,"317 Lake Region Rd, Orleans","Floor meeting only, no polls",
Belvidere,802-644-6621,Annual Meeting,3/4/25,10:00 AM,Belvidere Central School,"4515 Route 109, Belvidere Center",,
Bennington A,802-442-1043,Annual Meeting,3/4/25,7:00 AM,Bennington Fire Dept,"130 River St, Bennington","Information valid as of 2024. Contact town clerk for
updates.",
Bennington B,802-442-1043,Annual Meeting,3/4/25,7:00 AM,North Bennington Trustees Office,"2 Depot St, North Bennington","Information valid as of 2024. Contact town clerk for
updates.",
Benson,802-537-2611,Annual Meeting,3/1/25,10:00 AM,Community Hall,"2724 Stage Rd, Benson","Town offices elected by Australian ballot March 4, 2025.","March 4, 2025 10AM-7PM"
Berkshire,802-933-2335,Annual Meeting,3/3/25,10:00 AM,Berkshire Town Clerk's Office,"4454 Water Tower Rd, Berkshire",,
Berlin,802-229-9298,Annual Meeting,3/1/25,10:00 AM,Berlin Elementary School,"372 Paine Tpke N, Berlin","3/4/2025, 10 am - 7 pm at 108 Shed Rd, Berlin VT 05602
(Australian ballot)",
Bethel,802-234-9722,Annual Meeting,3/4/25,8:00 AM,"White River Unified School -
Bethel Campus","273 Pleasant St, Bethel",,"March 4, 2025 - Election of School Directors"
Bloomfield,802-962-5191,Annual Meeting,3/4/25,10:00 AM,Bloomfield Town Hall,"27 Schoolhouse Rd, Bloomfield","Information valid as of 2024. Contact town clerk for
updates.",
Bolton,802-434-5075 x222,Annual Meeting,3/4/25,7:00 AM,Smilie Elementary School,"2712 Theodore Roosevelt Hwy, Bolton","Information valid as of 2024. Contact town clerk for
updates.",
Bradford,802-222-4727 x200,Annual Meeting,3/1/25,10:00 AM,Bradford Academy Auditorium,"172 North Main St, Bradford","In-person Town Meeting is Sat. March 1, 2025, at 9:00
am. Australian Ballot Voting for Elected Officers is
Tuesday, March 4th, 2025 polls are open 10am-7pm.",OUUSD meeting in May. Date is not set yet.
Braintree,802-728-9787 x3,Annual Meeting,3/4/25,10:00 AM,Braintree Town Hall,"5379 VT Route 12A, Braintree",,9:00 am - 7:00 pm
Brandon,802-247-3635,Annual Meeting,3/4/25,7:00 AM,Brandon American Legion,"550 Franklin St, Brandon","Informational meeting with floor votes on Monday, March
3 at 7pm at Brandon Town Hall.",
Brattleboro,802-251-8157,Annual Meeting,3/4/25,7:00 AM,American Legion,"32 Linden St, Brattleboro","Annual Town Meeting is March 4, 2025 at the American
Legion from 7am to 7pm. Representative Town meeting
is March 22, 2025 at the BUHS Gymnasium beginning at
8:30am.  Representative Town Meeting - March 22, 2025,
BUHS Gymnasium, 8:30am.","WSESD Annual Meeting - March 18, 2025, BUHS
Gymnasium, 7:00pm. WSESD School Board Elections -
March 4, 2025, American Legion, 7am to 7pm"
Bridgewater,802-672-3334 x1,Annual Meeting,3/4/25,9:00 AM,Bridgewater Community Center,"76 Southgate Loop, Bridgewater",,"School Australian Ballot, March 4, 2025 8:00 am to 7:00
pm Town Office, 45 Southgate Loop, Bridgewater, VT"
Bridport,802-758-2483,Annual Meeting,3/4/25,7:00 AM,Bridport Community Hall,"52 Crown Point Rd, Bridport",,
Brighton,802-723-4405,Annual Meeting,3/3/25,9:00 AM,Brighton Town Hall - Gymnasium,"49 Mill St Ext, Brighton","We hold our annual meeting on Monday night at 7:00 PM
starting with the school, and the town immediately follows
at 7:30 PM and then vote by Australian ballot for officers,
for town and school, and North Country Union High
School items on Tuesday, March 4, 2025",
Bristol,802-453-2410 x5,Annual Meeting,3/4/25,7:00 AM,Holley Hall,"1 South St, Bristol","Floor Voting meeting is Monday night 3/3/2025 starting at
6pm and Australian Ballot is Tuesday 3/4/2025.",
Brookfield,802-276-3352,Annual Meeting,3/4/25,9:00 AM,Brookfield Elementary School,"1728 Ridge Rd, Brookfield",,
Brownington,802-754-8401,Annual Meeting,3/4/25,10:00 AM,Brownington Central School,"103 Chase Rd, Brownington",,"Monday, March 10, 2025 at 7:30 pm at Lake Region
Union High School located at 317 Lake Region Rd,
Orleans, VT."
Brunswick,802-962-5514,Annual Meeting,3/4/25,10:00 AM,Community Office Building,"994 VT Route 102, Brunswick",,
