TOWN,CLERK TEL #,ELECTION,DATE,POLLS OPEN,POLLING LOCATION,STREET ADDRESS,OTHER ELECTION INFO,SCHOOL ELECTION INFO,latitude,longitude,geocode_status
Addison,802-759-2020,Annual Meeting,3/3/25,7:00 AM,Addison Community Center,"121 VT Route 17 W, Addison",,,44.0537796,-73.4130329,success
Albany,802-755-6100,Annual Meeting,3/4/25,9:00 AM,Albany Town Hall,"833 Main St, Albany","Additional polling place at Albany Town Clerk's Office,
827 Main St, Albany (depends on the year)",,44.7309903,-72.3793124,success
Alburgh,802-796-3468,Annual Meeting,3/3/25,7:00 AM,Alburgh Fire Hall,"36 Firehouse Rd, Alburgh",,,44.9800364,-73.3058124,success
Andover,802-875-2765,Annual Meeting,3/3/25,8:00 AM,Andover Town Hall,"59 Town Hall Rd, Andover",,,43.2769757,-72.6988317,success
Arlington,802-375-2332,Annual Meeting,3/3/25,10:00 AM,"Arlington Memorial High School
Gymnasium","529 E Arlington Rd, Arlington","Floor Meeting Monday, 3/3/25.  Election Tuesday, 3/4/25.",,43.0666579,-73.1511183,success
Athens,802-869-3370,Annual Meeting,3/3/25,10:00 AM,Athens Town Office,"25 Brookline Rd, Athens","Town Meeting: Monday, March 3rd at 6:00pm at the
Athens Community Center (Former Elementary School) //
Australian Balloting: Tuesday March 4th 10:00 - 7:00 at
the Athens Town Office",,43.1298921,-72.5674804,success
Bakersfield,802-827-4495,Annual Meeting,3/4/25,10:00 AM,Bakersfield Town Hall,"40 E Bakersfield Rd, Bakersfield","Information valid as of 2024. Contact town clerk for
updates.",,44.781754,-72.8009168,success
Baltimore,802-263-5274,Annual Meeting,3/4/25,10:00 AM,Baltimore Town Office,"1902 Baltimore Rd, Baltimore","Town Meeting begins at 7:15 PM after polls close for
School District voting.",Australian Ballot Polls 10:00 AM - 7:00 PM,43.3616083,-72.5713743,success
Barnard,802-234-9211 x1,Annual Meeting,3/4/25,10:00 AM,Barnard Town Hall,"115 North Rd, Barnard",,Union School polls 10 AM to 7 PM,43.7302772,-72.6184323,success
Barnet,802-633-2256,Annual Meeting,3/4/25,10:00 AM,Barnet School,"163 Kid Row, Barnet",,School election: 3/4/2025 - 7 a.m. to 7 p.m.,44.3068395,-72.0800487,success
Barre City,802-476-0242,Annual Meeting,5/13/25,7:00 AM,Barre Civic Center Auditorium,"19 Auditorium Hill, Barre",,"BUUSD/CVCC School elections - 03/04/2025 at the
Barre Auditorium",44.2023276,-72.5044486,success
Barre Town,802-479-9391,Annual Meeting,3/4/25,7:00 AM,"Barre Town Middle and
Elementary School","70 Websterville Rd, Barre",,"Barre Unified Union School District and Central Vermont
Career Center Annual Elections - March 4, 2025",44.1656058,-72.487543,success
Barton,802-525-6222,Annual Meeting,3/4/25,7:00 PM,Lake Region Union High School,"317 Lake Region Rd, Orleans","Floor meeting only, no polls",,44.7831906,-72.2207416,success
Belvidere,802-644-6621,Annual Meeting,3/4/25,10:00 AM,Belvidere Central School,"4515 Route 109, Belvidere Center",,,44.7470532,-72.7014801,success
Bennington A,802-442-1043,Annual Meeting,3/4/25,7:00 AM,Bennington Fire Dept,"130 River St, Bennington","Information valid as of 2024. Contact town clerk for
updates.",,42.88245,-73.199939,success
Bennington B,802-442-1043,Annual Meeting,3/4/25,7:00 AM,North Bennington Trustees Office,"2 Depot St, North Bennington","Information valid as of 2024. Contact town clerk for
updates.",,42.9323002,-73.2421727,success
Benson,802-537-2611,Annual Meeting,3/1/25,10:00 AM,Community Hall,"2724 Stage Rd, Benson","Town offices elected by Australian ballot March 4, 2025.","March 4, 2025 10AM-7PM",43.7084489,-73.3102253,success
Berkshire,802-933-2335,Annual Meeting,3/3/25,10:00 AM,Berkshire Town Clerk's Office,"4454 Water Tower Rd, Berkshire",,,44.97164,-72.7740536,success
Berlin,802-229-9298,Annual Meeting,3/1/25,10:00 AM,Berlin Elementary School,"372 Paine Tpke N, Berlin","3/4/2025, 10 am - 7 pm at 108 Shed Rd, Berlin VT 05602
(Australian ballot)",,44.2145352,-72.5718741,success
Bethel,802-234-9722,Annual Meeting,3/4/25,8:00 AM,"White River Unified School -
Bethel Campus","273 Pleasant St, Bethel",,"March 4, 2025 - Election of School Directors",43.832961,-72.6436893,success
Bloomfield,802-962-5191,Annual Meeting,3/4/25,10:00 AM,Bloomfield Town Hall,"27 Schoolhouse Rd, Bloomfield","Information valid as of 2024. Contact town clerk for
updates.",,44.7546545,-71.6286695,success
Bolton,802-434-5075 x222,Annual Meeting,3/4/25,7:00 AM,Smilie Elementary School,"2712 Theodore Roosevelt Hwy, Bolton","Information valid as of 2024. Contact town clerk for
updates.",,44.3737944,-72.8769552,success
Bradford,802-222-4727 x200,Annual Meeting,3/1/25,10:00 AM,Bradford Academy Auditorium,"172 North Main St, Bradford","In-person Town Meeting is Sat. March 1, 2025, at 9:00
am. Australian Ballot Voting for Elected Officers is
Tuesday, March 4th, 2025 polls are open 10am-7pm.",OUUSD meeting in May. Date is not set yet.,43.9972456,-72.1260218,success
Braintree,802-728-9787 x3,Annual Meeting,3/4/25,10:00 AM,Braintree Town Hall,"5379 VT Route 12A, Braintree",,9:00 am - 7:00 pm,43.973157,-72.7489554,success
Brandon,802-247-3635,Annual Meeting,3/4/25,7:00 AM,Brandon American Legion,"550 Franklin St, Brandon","Informational meeting with floor votes on Monday, March
3 at 7pm at Brandon Town Hall.",,43.7934279,-73.0785908,success
Brattleboro,802-251-8157,Annual Meeting,3/4/25,7:00 AM,American Legion,"32 Linden St, Brattleboro","Annual Town Meeting is March 4, 2025 at the American
Legion from 7am to 7pm. Representative Town meeting
is March 22, 2025 at the BUHS Gymnasium beginning at
8:30am.  Representative Town Meeting - March 22, 2025,
BUHS Gymnasium, 8:30am.","WSESD Annual Meeting - March 18, 2025, BUHS
Gymnasium, 7:00pm. WSESD School Board Elections -
March 4, 2025, American Legion, 7am to 7pm",42.856117,-72.5611432,success
Bridgewater,802-672-3334 x1,Annual Meeting,3/4/25,9:00 AM,Bridgewater Community Center,"76 Southgate Loop, Bridgewater",,"School Australian Ballot, March 4, 2025 8:00 am to 7:00
pm Town Office, 45 Southgate Loop, Bridgewater, VT",43.5881451,-72.6243376,success
Bridport,802-758-2483,Annual Meeting,3/4/25,7:00 AM,Bridport Community Hall,"52 Crown Point Rd, Bridport",,,43.9851168,-73.3146025,success
