TOWN,Total Population,state,county,county subdivision,Census Dataset,Census Year,Total Population (%)
Addison,1175,50,001,00325,ACS 5-Year Estimates,2024,100
Bridport,1235,50,001,08575,ACS 5-Year Estimates,2024,100
Bristol,3778,50,001,09025,ACS 5-Year Estimates,2024,100
Cornwall,1208,50,001,16000,ACS 5-Year Estimates,2024,100
Ferrisburgh,2661,50,001,26300,ACS 5-Year Estimates,2024,100
Goshen,142,50,001,28600,ACS 5-Year Estimates,2024,100
Granville,414,50,001,29575,ACS 5-Year Estimates,2024,100
Hancock,435,50,001,31525,ACS 5-Year Estimates,2024,100
Leicester,1026,50,001,39325,ACS 5-Year Estimates,2024,100
Lincoln,1394,50,001,40075,ACS 5-Year Estimates,2024,100
Middlebury,9175,50,001,44350,ACS 5-Year Estimates,2024,100
Monkton,1999,50,001,45550,ACS 5-Year Estimates,2024,100
New Haven,1792,50,001,48700,ACS 5-Year Estimates,2024,100
Orwell,1294,50,001,53725,ACS 5-Year Estimates,2024,100
Panton,690,50,001,53950,ACS 5-Year Estimates,2024,100
Ripton,508,50,001,59650,ACS 5-Year Estimates,2024,100
Salisbury,1200,50,001,62575,ACS 5-Year Estimates,2024,100
Shoreham,1269,50,001,65050,ACS 5-Year Estimates,2024,100
Starksboro,1939,50,001,70075,ACS 5-Year Estimates,2024,100
Vergennes,2565,50,001,74650,ACS 5-Year Estimates,2024,100
Waltham,452,50,001,76075,ACS 5-Year Estimates,2024,100
Weybridge,781,50,001,83275,ACS 5-Year Estimates,2024,100
Whiting,532,50,001,83800,ACS 5-Year Estimates,2024,100
Arlington,2598,50,003,01450,ACS 5-Year Estimates,2024,100
Bennington,15249,50,003,04825,ACS 5-Year Estimates,2024,100
Dorset,2092,50,003,17725,ACS 5-Year Estimates,2024,100
Glastenbury,0,50,003,27962,ACS 5-Year Estimates,2024,
Landgrove,225,50,003,39025,ACS 5-Year Estimates,2024,100
Manchester,4486,50,003,42850,ACS 5-Year Estimates,2024,100
Peru,434,50,003,55000,ACS 5-Year Estimates,2024,100
Pownal,3265,50,003,57025,ACS 5-Year Estimates,2024,100
Readsboro,807,50,003,58600,ACS 5-Year Estimates,2024,100
Rupert,676,50,003,61000,ACS 5-Year Estimates,2024,100
Sandgate,435,50,003,62875,ACS 5-Year Estimates,2024,100
Searsburg,129,50,003,63175,ACS 5-Year Estimates,2024,100
Shaftsbury,3607,50,003,63550,ACS 5-Year Estimates,2024,100
Stamford,963,50,003,69775,ACS 5-Year Estimates,2024,100
Sunderland,1269,50,003,71425,ACS 5-Year Estimates,2024,100
Winhall,752,50,003,85075,ACS 5-Year Estimates,2024,100
Woodford,282,50,003,85675,ACS 5-Year Estimates,2024,100
Barnet,1855,50,005,02875,ACS 5-Year Estimates,2024,100
Burke,1317,50,005,10450,ACS 5-Year Estimates,2024,100
Danville,2360,50,005,17125,ACS 5-Year Estimates,2024,100
Groton,967,50,005,30550,ACS 5-Year Estimates,2024,100
Hardwick,2965,50,005,31825,ACS 5-Year Estimates,2024,100
Kirby,756,50,005,37900,ACS 5-Year Estimates,2024,100
Lyndon,5590,50,005,41725,ACS 5-Year Estimates,2024,100
Newark,727,50,005,47725,ACS 5-Year Estimates,2024,100
Peacham,887,50,005,54400,ACS 5-Year Estimates,2024,100
Ryegate,1059,50,005,61525,ACS 5-Year Estimates,2024,100
St. Johnsbury,7368,50,005,62200,ACS 5-Year Estimates,2024,100
Sheffield,573,50,005,64075,ACS 5-Year Estimates,2024,100
Stannard,228,50,005,69925,ACS 5-Year Estimates,2024,100
Sutton,790,50,005,71575,ACS 5-Year Estimates,2024,100
Walden,1037,50,005,75700,ACS 5-Year Estimates,2024,100
Waterford,1279,50,005,77125,ACS 5-Year Estimates,2024,100
Wheelock,717,50,005,83500,ACS 5-Year Estimates,2024,100
Bolton,1163,50,007,06550,ACS 5-Year Estimates,2024,100
Buels gore,19,50,007,10300,ACS 5-Year Estimates,2024,100
Burlington,44675,50,007,10675,ACS 5-Year Estimates,2024,100
Charlotte,3916,50,007,13300,ACS 5-Year Estimates,2024,100
Colchester,17648,50,007,14875,ACS 5-Year Estimates,2024,100
Essex,11516,50,007,24175,ACS 5-Year Estimates,2024,100
Essex Junction city,10803,50,007,24400,ACS 5-Year Estimates,2024,100
Hinesburg,4718,50,007,33475,ACS 5-Year Estimates,2024,100
Huntington,1853,50,007,34600,ACS 5-Year Estimates,2024,100
Jericho,5114,50,007,36700,ACS 5-Year Estimates,2024,100
Milton,10769,50,007,45250,ACS 5-Year Estimates,2024,100
Richmond,4159,50,007,59275,ACS 5-Year Estimates,2024,100
St. George,812,50,007,62050,ACS 5-Year Estimates,2024,100
Shelburne,7969,50,007,64300,ACS 5-Year Estimates,2024,100
South Burlington city,20756,50,007,66175,ACS 5-Year Estimates,2024,100
Underhill,3141,50,007,73975,ACS 5-Year Estimates,2024,100
Westford,2290,50,007,80350,ACS 5-Year Estimates,2024,100
Williston,10144,50,007,84475,ACS 5-Year Estimates,2024,100
Winooski,8293,50,007,85150,ACS 5-Year Estimates,2024,100
Averill,9,50,009,02125,ACS 5-Year Estimates,2024,100
Avery's gore,0,50,009,02162,ACS 5-Year Estimates,2024,
Bloomfield,234,50,009,06325,ACS 5-Year Estimates,2024,100
Brighton,1167,50,009,08725,ACS 5-Year Estimates,2024,100
Brunswick,109,50,009,10075,ACS 5-Year Estimates,2024,100
Canaan,810,50,009,11800,ACS 5-Year Estimates,2024,100
Concord,1145,50,009,15250,ACS 5-Year Estimates,2024,100
East Haven,225,50,009,21250,ACS 5-Year Estimates,2024,100
Ferdinand,68,50,009,25975,ACS 5-Year Estimates,2024,100
Granby,67,50,009,29125,ACS 5-Year Estimates,2024,100
Guildhall,371,50,009,30775,ACS 5-Year Estimates,2024,100
Lemington,108,50,009,39700,ACS 5-Year Estimates,2024,100
Lewis,0,50,009,39775,ACS 5-Year Estimates,2024,
Lunenburg,1267,50,009,41425,ACS 5-Year Estimates,2024,100
Maidstone,241,50,009,42475,ACS 5-Year Estimates,2024,100
Norton,108,50,009,52750,ACS 5-Year Estimates,2024,100
Victory,53,50,009,75175,ACS 5-Year Estimates,2024,100
Warner's grant,0,50,009,76337,ACS 5-Year Estimates,2024,
Warren's gore,0,50,009,76562,ACS 5-Year Estimates,2024,
Bakersfield,1109,50,011,02500,ACS 5-Year Estimates,2024,100
Berkshire,1745,50,011,05425,ACS 5-Year Estimates,2024,100
Enosburgh,2804,50,011,24050,ACS 5-Year Estimates,2024,100
Fairfax,5226,50,011,24925,ACS 5-Year Estimates,2024,100
Fairfield,1938,50,011,25225,ACS 5-Year Estimates,2024,100
Fletcher,1196,50,011,26500,ACS 5-Year Estimates,2024,100
Franklin,1590,50,011,27100,ACS 5-Year Estimates,2024,100
Georgia,4890,50,011,27700,ACS 5-Year Estimates,2024,100
Highgate,3528,50,011,33025,ACS 5-Year Estimates,2024,100
Montgomery,1047,50,011,45850,ACS 5-Year Estimates,2024,100
Richford,2467,50,011,59125,ACS 5-Year Estimates,2024,100
St. Albans city,6954,50,011,61675,ACS 5-Year Estimates,2024,100
St. Albans,7057,50,011,61750,ACS 5-Year Estimates,2024,100
Sheldon,2267,50,011,64600,ACS 5-Year Estimates,2024,100
Swanton,6820,50,011,71725,ACS 5-Year Estimates,2024,100
Alburgh,1832,50,013,00860,ACS 5-Year Estimates,2024,100
Grand Isle,2192,50,013,29275,ACS 5-Year Estimates,2024,100
Isle La Motte,577,50,013,35875,ACS 5-Year Estimates,2024,100
North Hero,1263,50,013,50650,ACS 5-Year Estimates,2024,100
South Hero,1586,50,013,67000,ACS 5-Year Estimates,2024,100
Belvidere,422,50,015,04375,ACS 5-Year Estimates,2024,100
Cambridge,3767,50,015,11500,ACS 5-Year Estimates,2024,100
Eden,1351,50,015,23500,ACS 5-Year Estimates,2024,100
Elmore,964,50,015,23725,ACS 5-Year Estimates,2024,100
Hyde Park,3000,50,015,35050,ACS 5-Year Estimates,2024,100
Johnson,3450,50,015,37075,ACS 5-Year Estimates,2024,100
Morristown,5722,50,015,46675,ACS 5-Year Estimates,2024,100
Stowe,5285,50,015,70525,ACS 5-Year Estimates,2024,100
Waterville,680,50,015,77425,ACS 5-Year Estimates,2024,100
Wolcott,1507,50,015,85375,ACS 5-Year Estimates,2024,100
Bradford,2827,50,017,07375,ACS 5-Year Estimates,2024,100
Braintree,1026,50,017,07600,ACS 5-Year Estimates,2024,100
Brookfield,1486,50,017,09325,ACS 5-Year Estimates,2024,100
Chelsea,1223,50,017,13525,ACS 5-Year Estimates,2024,100
Corinth,1539,50,017,15700,ACS 5-Year Estimates,2024,100
Fairlee,1066,50,017,25675,ACS 5-Year Estimates,2024,100
Newbury,2169,50,017,48175,ACS 5-Year Estimates,2024,100
Orange,957,50,017,53425,ACS 5-Year Estimates,2024,100
Randolph,4843,50,017,58075,ACS 5-Year Estimates,2024,100
Strafford,1372,50,017,70675,ACS 5-Year Estimates,2024,100
